id,text,file_path,predicted_iprocedure,predicted_posize,predicted_podisease,predicted_otreatment,predicted_idiagnostic,predicted_opatient,predicted_prdisease,predicted_pogender,predicted_poage,predicted_idiagnostictest,predicted_iss,predicted_pophyconditon,predicted_poss,predicted_prss,predicted_poprocedure,predicted_potreatment,predicted_idisease,predicted_pomedhistory,predicted_prbehavior,predicted_poclinical,value_posize,value_podisease,value_iprocedure,value_iss,value_opatient,value_otreatment,value_prdisease,value_pogender,value_idiagnostic,value_idiagnostictest,value_poage,value_pophyconditon,value_idisease,value_prss,value_poss,value_potreatment,value_poprocedure,value_poclinical,value_prbehavior,value_pomedhistory,predicted_p,predicted_i,predicted_o,value_p,value_i,value_o
1009,the aim of the present study was to compare the safety and efficacy of oral misoprostol with pge2 gel in women with prom at term and an unfavorable bishop score,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.048801016,0.030793689,0.031852681,0.062658347,0.022727223,0.030519741,0.03063437,0.016459877,0.017915707,0.014746436,0.018570257,0.017427014,0.013571441,0.012254856,0.010030801,0.010178647,0.008504573,0.006808928,0.006468836,0.00559325,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043654438,0.052134562,0.962041795,0,0,1
1010,women with a live singleton fetus at term 37 42 weeks of gestation in cephalic presentation and a reactive nonstress test nst presenting with prom and a bishop score of 5 or less before the onset of labor were included in the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.064654239,0.065267392,0.159801498,0.028490888,0.041216731,0.032080326,0.055797223,0.033916902,0.057491105,0.02619171,0.027436042,0.042900532,0.034535829,0.017052094,0.019868821,0.014491167,0.018285319,0.017326558,0.009772674,0.009548142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945823729,0.081989653,0.086170234,1,0,0
1011,sixty one consecutive women presenting to the labor ward on scheduled days of the week were recruited to the study,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.093202591,0.056972791,0.043503769,0.024675839,0.026610918,0.025748858,0.02726059,0.022029508,0.026512673,0.01912952,0.018841833,0.019243125,0.017068023,0.01216366,0.011947131,0.010836829,0.010049398,0.008047891,0.008137654,0.006305396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940506697,0.077690519,0.084669232,1,0,0
1012,methods women with pregnancies between 37 and 42 weeks presenting with prom at term and a bishop score of 5 or less were randomly assigned to receive either a 4 hourly oral dose of 50 g of misoprostol up to a maximum of 3 doses or 2 applications of intracervical pge2 gel at a 6 hour interval,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.4350214,0.070494831,0.045898091,0.023845414,0.043673847,0.02693394,0.033405654,0.035074554,0.026548639,0.02560777,0.024293156,0.021652807,0.025360411,0.016621711,0.016747074,0.01679484,0.016506907,0.013716144,0.011810327,0.013880158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947973371,0.082782984,0.075767539,1,0,0
1013,a detailed history was taken for all patients followed by clinical examination and details were recorded on a standardized pretested proforma,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.260822177,0.058273733,0.036624014,0.022801094,0.031984035,0.023016507,0.02766959,0.025088541,0.021168483,0.019358441,0.018730972,0.017183175,0.018583864,0.012753014,0.012930085,0.01241313,0.010949854,0.009379125,0.008408142,0.009284693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924501359,0.151895031,0.075983733,1,0,0
1014,an aseptic speculum examination was performed to confirm that the membranes had ruptured by noting the presence of pooling of amniotic fluid in the vaginal vault,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.082989901,0.044336338,0.065849252,0.026252059,0.02785247,0.023055747,0.034851715,0.023178522,0.025714025,0.017430738,0.019858826,0.022119394,0.020508401,0.012101816,0.011799769,0.010599619,0.010428539,0.008731957,0.006803245,0.006709648,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173379004,0.926670134,0.024913665,0,1,0
1015,a sterile digital examination was then carried out in all patients to note cervical effacement dilation consistency and cervical length,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.176314101,0.046833314,0.03843037,0.023026198,0.028691674,0.021427365,0.027603086,0.021925837,0.019021241,0.017006079,0.017201182,0.0166167,0.017056331,0.011704465,0.011521218,0.010529712,0.009657074,0.008097372,0.007166933,0.007543742,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.082742684,0.947718382,0.059660371,0,1,0
1016,two women in the pge2 gel group had an operative vaginal delivery by vacuum extraction and 1 woman in the misoprostol group required an outlet forceps delivery,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.249512643,0.056924812,0.036256928,0.028215196,0.034836702,0.026424954,0.029339561,0.025349306,0.021895427,0.020257359,0.02196539,0.017393725,0.01935683,0.015619041,0.013163251,0.012927907,0.012237758,0.008501253,0.009719091,0.009102805,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.070564851,0.933365762,0.075968198,0,1,0
1017,the 2 groups were compared using 2 and unpaired t test where applicable,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.081722535,0.041514628,0.028265234,0.032971129,0.023015125,0.025608195,0.024061702,0.017190665,0.017543895,0.015374866,0.016251506,0.015834874,0.013296816,0.011348343,0.01035929,0.009705992,0.008093872,0.006551357,0.006607141,0.005680066,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.071582876,0.943419516,0.073308811,0,1,0
1018,in the misoprostol group 5 16 1 women required oxytocin augmentation compared with 27 90 in the pge2 group p b 0 001,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.060305592,0.033339567,0.024313232,0.079553641,0.024984101,0.037796777,0.024032909,0.015143041,0.015500598,0.014887002,0.019557472,0.016071793,0.012321555,0.013989241,0.00999619,0.010231165,0.008802539,0.006300139,0.007474922,0.005966081,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07093136,0.944365084,0.087011553,0,1,0
1019,twenty seven of 31 women 87 1 in the misoprostol group and 25 of 30 women 83 3 in the pge2 group had a normal vaginal delivery table 2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.070558704,0.05182023,0.035198636,0.040018003,0.027894167,0.03443953,0.026501413,0.019861486,0.025023973,0.018675273,0.020557415,0.017907774,0.016458731,0.014294983,0.01130145,0.011430181,0.010212226,0.006947748,0.008744136,0.005894308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075514339,0.937046528,0.066436566,0,1,0
1020,in conclusion the present study showed that oral misoprostol is safe and effective for induction in women with prom at term and that it has a shorter induction to delivery interval a lower requirement for oxytocin and greater patient satisfaction compared with pge2 gel,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.043337729,0.034020025,0.041253202,0.623127937,0.03736889,0.121307082,0.048269559,0.023427079,0.024870599,0.025351591,0.042643376,0.031964112,0.026644688,0.02820445,0.024745084,0.024560485,0.021344872,0.015918555,0.018428085,0.016531819,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056913488,0.914842069,0.111842953,0,1,0
1021,conclusion oral misoprostol is a safe and efficacious alternative to intracervical pge2 gel in the active management of prom at term,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19375704_element.csv,0.045948375,0.031230537,0.036685836,0.552087605,0.035040859,0.096558049,0.047059182,0.02135084,0.022220792,0.022522639,0.03615189,0.028641708,0.022713976,0.025657853,0.022535928,0.022406194,0.018613882,0.014629398,0.016492499,0.014317104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093512416,0.93408215,0.048100624,0,1,0
1022,inclusion criteria were age between 40 and 65 years old stemi according to the who definition pci 12 h from the onset of symptoms one vessel disease with an open infarct related artery amenable to cell therapy,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.057529543,0.068342894,0.184542984,0.032572042,0.045974523,0.035716601,0.058837153,0.032131672,0.065926194,0.027748706,0.027801139,0.05169189,0.037283581,0.01868435,0.022893295,0.015709724,0.021490302,0.022276454,0.011088897,0.010939541,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.056056,0.046463419,0.970181704,0,0,1
1023,in recent years a variety of clinical trials have explored the hypothesis that bmmnc transplantation may enhance the recovery of lv function after ami,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.035959765,0.029366184,0.032675155,0.348311752,0.029436158,0.080788255,0.034716882,0.018516166,0.020903891,0.018929422,0.029312102,0.022859624,0.01865099,0.019688375,0.015832139,0.01647163,0.013372029,0.010441322,0.011834783,0.00996724,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.051471375,0.042508975,0.955885768,0,0,1
1024,general exclusion criteria were previous mi cardiomyopathy atrial fibrillation or flutter previous heart surgery severe valvular heart disease disease of the haematopoietic system nyha functional class iv heart failure at baseline severe renal lung and liver disease or cancer significant coronary lesion in one or more major coronary vessels intracardiac thrombus and bone marrow disease,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.065849811,0.073031224,0.278656185,0.046625871,0.058082081,0.042013712,0.08407826,0.032094412,0.076588616,0.030304445,0.035240196,0.082809672,0.044667907,0.024431089,0.028549671,0.016691394,0.031572081,0.032898556,0.01474796,0.019147763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942472756,0.073492616,0.092735149,1,0,0
1025,the final preparation of the injected cells contained 5 1 2 10 7 mononuclear bmmnc and the control group was made using repeated measures anova,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.39988625,0.057327744,0.031976711,0.031717643,0.038078681,0.0282594,0.032780625,0.028476266,0.019583233,0.021320134,0.021235684,0.019266386,0.020386139,0.016010078,0.01508473,0.01664917,0.015169831,0.012636843,0.010774042,0.013877723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.395953,0.034521062,0.749351084,1,0,0
1026,all of the patients received medication in accordance with current guidelines for the management of patients with stemi,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.167230591,0.044594578,0.032123249,0.027051708,0.025661703,0.022131076,0.024661047,0.020530898,0.016866455,0.016225874,0.016457405,0.015539255,0.015061362,0.011142218,0.010740274,0.010716776,0.009011333,0.007656856,0.006730789,0.007213462,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946613431,0.093842544,0.05969362,1,0,0
1027,in the present study stem cell therapy improved lvef by 3 5 when compared with controls over a 4 years follow up period,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.041226897,0.030201862,0.028708978,0.374044567,0.030440593,0.082195081,0.033639655,0.017875994,0.019172752,0.019332372,0.030242948,0.022459973,0.018091418,0.020503672,0.016143592,0.017221475,0.013988295,0.010745579,0.012657075,0.010462237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068338558,0.94408077,0.080476336,1,0,0
1028,one patient 2 4 had transient acute heart failure in the bmmnc group 7 days after cell transplantation and one death 2 2 occurred in the control group at 1 year follow up,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.117295474,0.055605091,0.050580077,0.023263814,0.029511401,0.024496848,0.029652182,0.024548367,0.026381256,0.020398695,0.021114632,0.019654112,0.019119626,0.013399889,0.01243692,0.011121631,0.010709316,0.007838292,0.00798443,0.006989057,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142757431,0.868333936,0.038394459,0,1,0
1029,after intracoronary transplantation of bmmnc no statistically significant changes were found on ck ck mb homocysteine pt tt aptt fib inr un creatinine routine blood tests blood cholesterol blood glucose blood pressure or ecg tests data not shown,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.042176075,0.034546822,0.046943016,0.586898983,0.037869774,0.119288668,0.049312349,0.023822151,0.026412912,0.025103426,0.045341443,0.031581581,0.026777538,0.029625276,0.02452351,0.024400989,0.01996862,0.01533608,0.017177658,0.015245072,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047341693,0.901667237,0.133781224,0,1,0
1030,study limitations cell delivery in small animals 29 we find molecular imaging techby guest on june 12 2015 niques to be the ideal tools to further assess cellular therapy systematically in vivo,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.107052498,0.051591553,0.037442245,0.02694623,0.028136881,0.024760677,0.029277708,0.020262025,0.023464439,0.018410355,0.018309692,0.017704451,0.016588643,0.012473625,0.011785077,0.010588808,0.009223984,0.007348014,0.007836572,0.006358868,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.072639294,0.929376781,0.069375485,0,1,0
1031,the control group did not undergo bone marrow aspiration and was injected with the same volume of heparinized saline as the bmmnc groups,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.148293585,0.038920801,0.033665001,0.031350326,0.027336737,0.023277799,0.027077798,0.019689949,0.01610023,0.015665503,0.017512666,0.015625004,0.015209163,0.012298,0.010659604,0.00990508,0.009157729,0.007096865,0.006676918,0.007108648,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053372268,0.490510225,0.314798951,0,1,0
1032,although the current population was too small to obtain statistically significant differences the results indicated that younger patients or patients without diabetes mellitus may benefit more from stem cell therapy,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.036721591,0.031549934,0.03894015,0.474128097,0.03258555,0.104878254,0.040707067,0.020987825,0.024006534,0.022138607,0.036752108,0.026957126,0.022915643,0.023541093,0.019340394,0.020024391,0.016475005,0.012867066,0.013990767,0.012873634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157835186,0.788825572,0.046594489,0,1,0
1033,coronary artery restenosis was defined as more than 50 loss of luminal diameter within stents at follow up,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.033834621,0.028033817,0.031777199,0.226124316,0.027155183,0.062868387,0.032381721,0.016916364,0.020010795,0.017525258,0.025793172,0.020678641,0.016166618,0.017254805,0.013080741,0.01380645,0.011800764,0.00878546,0.009766857,0.007997788,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062449526,0.939508438,0.090890877,0,1,0
1034,there were no major differences between the two groups in terms of patient characteristics table 1,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19508995_element.csv,0.036879662,0.0302487,0.029345714,0.094868615,0.023371566,0.0417303,0.027522244,0.016014241,0.018558808,0.015111549,0.02010387,0.017919123,0.013756585,0.01326265,0.010688613,0.010894592,0.009218181,0.00732369,0.007231373,0.006136361,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100816093,0.032721724,0.954573333,0,0,1
1035,the aim of this study was to compare the anti hypertensive efficacy and renal and cardiac haemodynamic effects of bisoprolol with those of losartan over a 1 year time period in patients with essential hypertension,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.03870485,0.028235881,0.029851232,0.19471328,0.026858464,0.05362663,0.031932402,0.016437642,0.017638117,0.016344067,0.024652818,0.019717904,0.015097219,0.017026648,0.012587273,0.013161771,0.010761801,0.008194193,0.009179007,0.007273797,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.211945072,0.055486508,0.52914685,0,0,1
1036,inclusion criteria were a diagnosis of essential hypertension esh stage 1 or 2 hypertension established by history and physical examination together with the absence of clinical findings that would be suggestive of a secondary form of hypertension according to esh guidelines,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.053559896,0.061732624,0.178288072,0.036651254,0.044291988,0.034935866,0.059289239,0.02766265,0.056660824,0.023993718,0.027330736,0.051379502,0.035343219,0.018469451,0.019980954,0.014863531,0.021165969,0.020963673,0.010153159,0.011049476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.072745368,0.043376058,0.941420794,0,0,1
1037,seventy two patients 40 males 32 females aged from 29 to 63 years mean sd age 52 12 years with recently diagnosed essential hypertension were assessed for eligibility and enrolled in the trial,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.052984145,0.063042507,0.10809017,0.031908475,0.034040559,0.033787638,0.046971563,0.033098035,0.054202225,0.025822967,0.026258422,0.033747714,0.026801843,0.016011167,0.017813347,0.014487006,0.016025508,0.014043595,0.009879753,0.008009712,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.938549936,0.080723822,0.082778752,1,0,0
1038,after a run in period of 14 days on placebo the patients were randomized in a double blind prospective study to receive either bisoprolol 5 mg or losartan 50 mg administered once daily for 1 year,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.48537001,0.065878175,0.035649531,0.035232127,0.042207524,0.030687308,0.03492596,0.033382609,0.022124991,0.024444548,0.024290061,0.021955647,0.02475995,0.017630534,0.017218942,0.019696778,0.018138096,0.015464838,0.012939667,0.017264657,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.946779788,0.095278986,0.061551031,1,0,0
1039,at recruitment and 12 months after treatment cardiac output and renal haemodynamics and function were evaluated by echocardiography and radionuclide studies respectively,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.093382455,0.047592144,0.051298574,0.023696344,0.027120512,0.02269624,0.030764319,0.022297956,0.024508901,0.01790691,0.018636918,0.01950266,0.018133534,0.011813738,0.011527258,0.010113947,0.009470905,0.007866116,0.006977586,0.006301073,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.950008273,0.082127921,0.101215929,1,0,0
1040,at the end of the run in period and at the end of the treatment period 12 months clinical characteristics were evaluated and renal haemodynamic laboratory and biochemical tests were performed,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.12781921,0.061350357,0.058707688,0.02016874,0.03037517,0.022991279,0.031533875,0.02646309,0.030402264,0.020966355,0.020347843,0.021642355,0.020674229,0.012626774,0.013095584,0.011090607,0.010994842,0.009450509,0.008242059,0.007414059,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.092608131,0.949546516,0.051706992,0,1,0
1041,in addition bp was measured monthly specifically systolic sbp and diastolic dbp bp were measured in triplicate with a mercury sphygmomanometer after 5 minutes in a supine position,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.323228598,0.059870295,0.03461777,0.026697434,0.036622893,0.02597646,0.030985674,0.027417861,0.021593448,0.020959925,0.021419842,0.018425362,0.020408334,0.015246186,0.014068575,0.013965386,0.012878749,0.009967615,0.010033657,0.010638157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.083009012,0.946551681,0.063082583,0,1,0
1042,the sustained bp control in hypertensive patients treated with bisoprolol observed in this study is consistent with previous reports and may be explained by the following haemodynamic effects i a blocked increment in co with high peripheral vascular resistance but low or normal co 28 29 30 31 32 33 however the unchanged co and ef at the end of the study indicate that the long term antihypertensive effect of bisoprolol might be due to a reduction in sympathetic nervous activity thereby inducing peripheral vascular dilatation rather than a negative inotropism,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.048168626,0.039884366,0.048151094,0.704768598,0.04328287,0.147819281,0.055197697,0.027411249,0.02830328,0.02988388,0.053448971,0.036281344,0.032901794,0.035652522,0.031059915,0.03016437,0.025069753,0.018891526,0.022935359,0.020009439,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07975436,0.946309745,0.064323872,0,1,0
1043,our results agree with those of basic studies in rats and humans that have documented positive renal and central haemodynamic effects during short term administration of bisoprolol resulting in a significant improvement in glomerulosclerosis and diminution of arterial damage,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.042629518,0.033496156,0.047452353,0.659259498,0.039163791,0.124975301,0.054638792,0.025096538,0.026514417,0.026732955,0.044667337,0.034926567,0.02863148,0.030010857,0.027529582,0.026377752,0.022840142,0.017531522,0.018521566,0.018140223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06720905,0.946339607,0.085278735,0,1,0
1044,bisoprolol is more effective in bp control in that it achieves tighter control of dbp than losartan and it can be a useful therapeutic option in the management of recently diagnosed hypertensive patients esh stage 1 2,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.049442958,0.0338821,0.04034628,0.622349501,0.037596866,0.108732715,0.051445495,0.023709567,0.023968229,0.025000192,0.040187333,0.032683015,0.025496205,0.028481638,0.025602575,0.025389416,0.022235898,0.016682256,0.01893241,0.016994564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037610821,0.078910045,0.958070338,0,0,1
1045,moreover this study has confirmed that the effectiveness of the two drugs in maintaining renal function and haemodynamics is similar with no significant influence on ef and co over the long term,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19663521_element.csv,0.043129373,0.032295946,0.03671613,0.544010699,0.03410254,0.104296461,0.042221136,0.021248898,0.022102723,0.022235559,0.036929816,0.027837684,0.022928692,0.024316588,0.021018157,0.021346394,0.017981755,0.013804327,0.01592342,0.014041798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040179864,0.058521472,0.965269923,0,0,1
1046,postmenopausal women with her2 positive immunohistochemistry ihc 3 by dako herceptest dako carpinteria ca or another us food and drug administration approved ihc test and or fluorescence in situ hybridization positive with two fold amplification confirmed by central testing and hormone receptor positive er positive and or pgr positive determined locally as defined by institutional criteria mbc were eligible,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.072595634,0.065928586,0.170074388,0.028407335,0.044673484,0.030007347,0.055954289,0.029572729,0.052904837,0.023652805,0.026539123,0.048092462,0.035300266,0.01743295,0.018990185,0.013819284,0.019713691,0.019622715,0.009985008,0.010659197,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.053055592,0.064295582,0.957430065,0,0,1
1047,postmenopausal women with her2 positive immunohistochemistry ihc 3 by dako herceptest dako carpinteria ca or another us food and drug administration approved ihc test and or fluorescence in situ hybridization positive with,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.09415938,0.061160717,0.125198081,0.022250088,0.038535688,0.025284221,0.04506053,0.028675977,0.039996192,0.021259543,0.023512539,0.035731252,0.030560521,0.014769524,0.015547939,0.012417468,0.015340797,0.014834778,0.008886881,0.009059638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05043475,0.049575184,0.96777612,0,0,1
1048,postmenopausal women with her2 positive immunohistochemistry ihc 3 by dako herceptest dako carpinteria ca or another us food and drug administration approved ihc test and or fluorescence in situ hybridization positive with o fold amplification confirmed by central testing and hormone receptor positive er positive and or pgr positive determined locally as defined by institutional criteria mbc were eligible,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.071800359,0.06607613,0.173249245,0.029103324,0.045325205,0.030377377,0.057064213,0.029105453,0.053566128,0.023631485,0.026755806,0.049480475,0.035460319,0.017687742,0.019287322,0.013834539,0.020221174,0.020172706,0.010073968,0.010922477,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941371441,0.108386166,0.045733653,1,0,0
1049,postmenopausal women with her2 positive immunohistochemistry ihc 3 by dako herceptest dako carpinteria ca or another us food and drug administration approved ihc test and or fluorescence in situ hybridization positive with 14t13 29 18z data telemetryid excel keyboard idkdocsave alt1 data inputtype 3 data durationinmilliseconds 126 data success false data useractionid 199 data activitytag,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.102374144,0.067530684,0.147891492,0.023781545,0.044568207,0.026992494,0.050451543,0.03125428,0.048374996,0.023470875,0.025911679,0.043557711,0.034775719,0.016213106,0.01784212,0.012981318,0.018507088,0.017870996,0.009945776,0.01071816,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946305871,0.085006446,0.089248404,1,0,0
1050,approximately 15 of patients who received trastuzumab plus anastrozole did not experience disease progression for at least 2 years suggesting that the use of her2 targeted therapy with an ai can substantially delay chemotherapy in some patients who experience clinical benefit,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.034834765,0.032436009,0.054875754,0.100224815,0.025632927,0.042433813,0.038447592,0.020764051,0.024575138,0.018415192,0.025698293,0.023613308,0.018194389,0.015298693,0.012487601,0.012828808,0.011742365,0.008328135,0.007197815,0.007143148,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.942229271,0.106822953,0.046813194,1,0,0
1051,randomly assigned patients received anastrozole 1 mg d orally control or trastuzumab 4 mg kg by intravenous infusion on day 1 followed by 2 mg kg weekly plus anastrozole 1 mg d orally no patients received chemotherapy,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.520480514,0.067301705,0.042653799,0.034434203,0.046345051,0.03188752,0.036982462,0.034139242,0.024095915,0.025343282,0.025576476,0.024500582,0.027890787,0.017825466,0.017695548,0.02002346,0.020837864,0.018496489,0.013299688,0.019572733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919243395,0.179466456,0.02660354,1,0,0
1052,patients and methods postmenopausal women with her2 hormone receptor copositive mbc were randomly assigned to anastrozole 1 mg d orally with or without trastuzumab 4 mg kg intravenous infusion on day 1 then 2 mg kg every week until progression,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.461536556,0.066282347,0.043206174,0.026585395,0.043430511,0.027922096,0.034394819,0.033180829,0.023630176,0.023760255,0.02341939,0.02142158,0.025168251,0.016253367,0.016364448,0.017325237,0.017437337,0.01456834,0.011458135,0.015439861,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045074061,0.056565743,0.955742598,1,1,1
1053,prior chemotherapy for mbc or adjuvant chemotherapy within 6 months was not permitted,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.125700474,0.043003194,0.04390721,0.025336798,0.02594154,0.021711599,0.027350344,0.020734336,0.018327747,0.015476271,0.017239343,0.017297849,0.016914548,0.011161746,0.010658674,0.009839199,0.00913815,0.007493004,0.006222772,0.006802968,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077893093,0.950921357,0.065652408,0,1,0
1054,the findings in the anastrozole plus trastuzumab arm in tandem are consistent with those from a phase ii study assessing letrozole plus trastuzumab in 31 evaluable postmenopausal women with her2 hormone receptor copositive advanced breast cancer,F:\PythonProjects\SRTP-PICO-Classification\data\PICOElement\19786670_element.csv,0.040208939,0.030092381,0.030231986,0.265846848,0.029676042,0.069098726,0.032677703,0.017251329,0.018795697,0.018167943,0.028940028,0.021524705,0.016810913,0.019844145,0.014612957,0.01490212,0.012281295,0.009286663,0.010678412,0.008739149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126495212,0.939942062,0.034538314,0,1,0
